Questions,Answers,Label
Would a sudden CEO death cause you to sell immediately?,It depends entirely on whether the moat outlives the individual.,Timing
How do you time buys around market bubbles?,I stay away from the bubble entirely and buy what the bubble ignored.,Timing
What is your process when the whole market crashes?,I look at my wish list of businesses and start buying whatever has fallen to a compelling price.,Timing
Does geopolitical risk change your timing?,It can temporarily suppress prices which is often when I get interested.,Timing
How do you handle timing when you are unsure of a business future?,Uncertainty demands a larger margin of safety meaning I wait for a lower price.,Timing
Do bond yields affect when you buy stocks?,Yes because bonds and stocks compete for capital so high yields raise the bar for equity purchases.,Timing
Have you ever been too early on a buy?,Many times because being early in value investing is uncomfortable but usually profitable.,Timing
Have you ever been too late?,Yes missing great businesses because I waited for a price that never came is my costliest habit.,Timing
What signals tell you a position has run its course?,When the business competitive advantage begins narrowing and reinvestment returns are shrinking.,Timing
Do you think about sector rotation as a timing tool?,No because rotating sectors based on macro bets is speculation not investing.,Timing
What is the danger of waiting too long for a perfect entry?,You end up watching great businesses compound for someone else while holding cash.,Timing
How do you time buys in technology companies given rapid change?,Very carefully because technology moats can vanish overnight so I demand a steeper discount.,Timing
What role does competitive analysis play in your timing?,If a competitor is gaining ground that is often the quiet signal to start exiting.,Timing
Do you ever buy ahead of a known catalyst like a spin off?,Occasionally but the value must be there independent of the catalyst.,Timing
How do you think about timing relative to business cycle stages?,I think about whether the business can survive the worst of the cycle not predict where we are in it.,Timing
What would cause you to double your position in a holding?,A significant price drop with no corresponding deterioration in the business.,Timing
Do you track your timing decisions to learn from them?,Yes the annual letter is partly a public accountability mechanism for my own decisions.,Timing
What emotions most distort timing decisions?,Impatience on the entry side and attachment on the exit side.,Timing
How do you time buys in a rising interest rate environment?,I demand higher earnings yields to compensate for the opportunity cost of holding equities.,Timing
How do you handle timing when the business you want is illiquid?,Illiquidity can be an advantage because fewer buyers means better prices for patient capital.,Timing
Do you ever buy a position just to establish a foothold and watch?,Sometimes because a small stake forces me to follow a business more closely than I otherwise would.,Timing
When do you know it is time to fully exit a long held position?,When I cannot honestly make the case that the business will be worth significantly more in ten years.,Timing
How do you think about timing in private vs public markets?,Private deals do not have daily prices tempting you to act and that forced patience is an advantage.,Timing
What does a good entry price feel like emotionally?,Slightly uncomfortable because if everyone agrees it is a great buy the bargain is probably already gone.,Timing
How do you think about timing your largest ever purchases?,With the same discipline as small ones because size does not change the valuation math.,Timing
Do you ever regret holding too long?,Sometimes but the regret of selling a great business too early is almost always larger.,Timing
What is the most common timing mistake you see among professional investors?,Selling great businesses to lock in gains then struggling to find anything as good to replace them.,Timing
How do you balance acting on conviction versus waiting for confirmation?,I act on conviction because waiting for confirmation usually means the opportunity has passed.,Timing
Does portfolio rebalancing ever drive your timing?,No because I do not believe in mechanical rebalancing that forces you to sell winners to buy losers.,Timing
How do you time buys when a business is growing rapidly?,Growth businesses demand careful valuation and I wait until the price assumes something less than perfection.,Timing
What is your reaction when a position immediately drops after you buy?,Relief because it usually means I can buy more at an even better price.,Timing
How do you think about timing in the context of compounding?,The longer you stay invested in a great business the more compounding does the timing work for you.,Timing
Would a global pandemic change your buy and sell timing?,It would accelerate some declines I would want to buy into and some structural shifts I would want to exit ahead of.,Timing
Do you ever time sells to avoid short term capital gains taxes?,I will hold slightly longer to convert a short term gain into a long term one if the business still merits ownership.,Timing
How do you think about timing when the market is closed to an industry you follow?,I keep my analysis fresh so I am ready to move the moment sentiment shifts and prices drop.,Timing
What has been your longest wait between identifying a business and buying it?,Years because I watched several companies for a decade before the price finally made sense.,Timing
How do you keep discipline on timing when the market is euphoric?,I go back to first principles about what the business is actually worth and let that anchor me.,Timing
Do you think timing matters more in small caps than large caps?,Small caps can be more mispriced so timing can amplify returns but the analysis must be equally rigorous.,Timing
What is the single worst time to buy a stock?,When everyone is certain it can only go higher.,Timing
What is the single best time to sell a stock?,Almost never if the business is truly exceptional.,Timing
If you could give one piece of timing advice to a young investor what would it be?,Spend less time asking when to buy and more time making sure what you are buying deserves to be owned forever.,Timing
How do you want to be remembered as a timer of markets?,I do not because I want to be remembered as someone who understood businesses well enough that timing barely mattered.,Timing
How do you think about timing when a stock has already doubled from your buy price?,I ask whether the business is worth twice what I paid and if yes I hold without hesitation.,Timing
Does the size of your cash reserve influence when you start buying?,A large cash reserve means I can buy aggressively when prices fall without worrying about liquidity.,Timing
How do you time a purchase when a business operates in a heavily regulated industry?,Regulation can be a moat so I buy when temporary regulatory fear creates a price below intrinsic value.,Timing
Do you think about timing differently for wholly owned businesses vs publicly traded stocks?,With wholly owned businesses there is no daily price to tempt me so patience comes naturally.,Timing
How do you handle timing when two great opportunities appear at the same time?,I take the better value and remind myself that opportunities always return for the patient investor.,Timing
Does a stock split ever influence your timing decision?,Never because a split changes the share count not the underlying value of the business.,Timing
How do you think about timing when a business you own starts losing market share?,Slowly losing market share is one of the earliest and most serious signals to begin exiting.,Timing
Do analyst upgrades or downgrades affect when you buy or sell?,No because analysts react to price moves while I try to anticipate value before the price reflects it.,Timing
How do you time a buy when the business has significant debt?,High debt demands a wider margin of safety and often pushes me to wait for a much lower price.,Timing
What is your approach to timing when entering a new country or market?,I move cautiously and demand a larger discount to account for risks I may not fully understand.,Timing
Has a competitor going bankrupt ever been your timing signal to buy an industry leader?,Yes when a weak competitor collapses it often strengthens the moat of the survivor I already admire.,Timing
How do you time buys when consumer preferences are visibly shifting?,I wait until I am certain the business I want to buy is on the right side of the shift.,Timing
Do you ever use options to time your entry into a position?,Occasionally I sell puts on businesses I want to own at lower prices which gets paid to wait.,Timing
How does a dividend cut change your timing on a position?,A dividend cut often signals deeper problems so I treat it as a prompt to reassess the entire thesis.,Timing
What is your timing approach when a business announces a large acquisition?,Large acquisitions often destroy value so I watch carefully and sometimes use the dip to exit if the logic seems flawed.,Timing
How do you think about timing when a stock is trading at an all time high?,All time highs do not scare me if the business value has grown faster than the price.,Timing
Do you time purchases differently during a presidential election year?,No because great businesses outlast every administration and I do not invest in political predictions.,Timing
How do you handle timing when a key patent or license is about to expire?,Patent cliffs are knowable risks so I price them in and wait for a margin of safety that accounts for the coming revenue loss.,Timing
Does a share buyback announcement affect your timing?,Only if the buyback is at prices below intrinsic value which signals that management is being a disciplined allocator.,Timing
How do you time exits in a business that is being disrupted by technology?,When I can see that disruption is accelerating and the moat is genuinely narrowing I exit without waiting for a recovery.,Timing
What is your timing approach in industries with very long business cycles like aerospace?,Long cycles require even more patience at entry and an even longer holding horizon to capture the full value.,Timing
Do you ever time a buy based on a business trading below book value?,Book value alone is not my trigger but a great business trading below book value gets my full attention.,Timing
How do you think about timing when you personally admire the CEO?,Admiration for a CEO can cloud judgment so I force myself to value the business as if the CEO were unknown to me.,Timing
Does a sudden increase in short interest on a stock you own change your timing?,I look at why the shorts are there and if my thesis is intact I sometimes view it as a positive contrarian signal.,Timing
How do you time a purchase in a business with no current earnings but strong future potential?,Businesses without current earnings require deep uncertainty discounts and I rarely find those prices compelling enough.,Timing
What role does industry consolidation play in your timing decisions?,Consolidation often improves the economics of survivors so I try to buy the strongest player before the market prices in the benefit.,Timing
How do you think about timing when commodity prices are at historic lows?,Historic lows in commodities can signal entry points for the lowest cost producers who will survive and thrive.,Timing
Do you time differently for businesses with subscription revenue vs one time revenue?,Subscription businesses have more predictable cash flows so I can be somewhat less strict about the entry price.,Timing
How does consumer confidence data affect when you buy consumer businesses?,Low consumer confidence often depresses prices on great consumer businesses giving me the entry I was waiting for.,Timing
What is your timing approach when a spin off creates a standalone company?,Spin offs are often underpriced at first because institutional holders sell without analysis and I look for that window.,Timing
How do you think about timing when a stock is under SEC investigation?,I stay away until the investigation is resolved because the tail risk is too unpredictable to price accurately.,Timing
Do you time buys based on insider selling activity?,Insider selling alone rarely worries me since people sell for many personal reasons but patterns of heavy selling do get my attention.,Timing
How do you handle timing when your position grows to become a very large percentage of a company?,At that size I must think carefully because exiting becomes very difficult and that illiquidity demands extra discipline on entry.,Timing
What is your timing approach for businesses in secular decline?,I avoid them entirely because no price is cheap enough for a business whose best days are permanently behind it.,Timing
How do you think about timing when interest rates are near zero?,Near zero rates raise asset prices broadly so I require businesses to have exceptional earnings power to justify ownership.,Timing
Does a natural disaster affecting a business you own change your timing?,If the disaster is temporary and the business is structurally sound I view it as a buying opportunity not an exit signal.,Timing
How do you time purchases around major product launches?,I buy the business not the product launch and the value must exist independent of whether the launch succeeds.,Timing
What is your timing approach when a company is going through a CEO succession?,I treat succession as a period of elevated uncertainty and demand a slightly better price to compensate.,Timing
How do you think about timing when a foreign government could nationalize a business you own?,Nationalization risk is severe and largely unquantifiable so I price it very conservatively or avoid the country altogether.,Timing
Do you time buys when a business is repurchasing shares at low prices aggressively?,Aggressive buybacks at low prices are one of the best signals of shareholder friendly capital allocation and they reinforce my conviction.,Timing
How do you handle timing when the market is pricing in a recession that has not yet arrived?,Pre priced recessions often create the best entry points because the fear exceeds the actual eventual damage.,Timing
What is your timing process when you receive a tip from a trusted fellow investor?,I do my own analysis from scratch because even trusted sources can be wrong and the price I need may differ from theirs.,Timing
How do you think about timing when a business has just cut its dividend to reinvest in growth?,It depends entirely on whether the reinvestment opportunities are truly superior to returning cash to shareholders.,Timing
Does a sudden currency devaluation in a market you are invested in change your timing?,A sharp devaluation can either create a buying opportunity or signal deeper economic problems and I take time to determine which.,Timing
How do you time exits when a business you own announces it will be acquired?,I hold until close if the deal price is fair and sell immediately only if a better use of capital exists elsewhere.,Timing
What is your timing approach for businesses in emerging markets?,Emerging markets require a much larger margin of safety to account for political institutional and currency risks.,Timing
How do you think about timing when you disagree with a companys capital allocation decisions?,Persistent poor capital allocation is a slow erosion of value and it eventually becomes a reason to exit.,Timing
Does a business losing its founder ever change your timing?,If the moat was built into the business and not into the founder I hold but if the two were inseparable I reassess immediately.,Timing
How do you time purchases when a great business is going through a temporary accounting restatement?,I wait until the restatement is complete because I need clean numbers to trust my valuation.,Timing
How do you want future investors to think about timing after studying your career?,I hope they conclude that the best timing strategy is to find a business so good that the entry date barely matters twenty years later.,Timing
